year,Incipient to wetness impregnation,Wet impregnation,Co-impregnation,Co-precipitation,Sol-gel,Sequential impregnation, calcTemperature (oC),calc Time (h),red Temperature  (oC),red Time (h),red H2 %,Co,Ba,Ca,Cu,Ce,Mn,La,Ni,Pt,Mg,Ir,Au,K,Li,Ru,Rh,Pd,Sr,Y,Zr,Al,Si,Ti,Pr,V,react Temperature (C),reac CH4 %vol,reac CO2 %vol,reac Ar %vol,reac N2 %vol,reac He %vol,GHSV (mgmin/mL),Time on stream (min),CH4 Conversion
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,4.9533458,0,0,0,0,0,0,0,0,0,0,0,0,95.0466542,0,0,0,0,600,50,50,0,0,0,4,60,20.907
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,4.9533458,0,0,0,0,0,0,0,0,0,0,0,0,95.0466542,0,0,0,0,650,50,50,0,0,0,4,60,35.6009
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,4.9533458,0,0,0,0,0,0,0,0,0,0,0,0,95.0466542,0,0,0,0,700,50,50,0,0,0,4,60,53.5601
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,4.9533458,0,0,0,0,0,0,0,0,0,0,0,0,95.0466542,0,0,0,0,750,50,50,0,0,0,4,60,75.873
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,4.9533458,0,0,0,0,0,0,0,0,0,0,0,0,95.0466542,0,0,0,0,800,50,50,0,0,0,4,60,89.4785
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,7.9916729,0,0,0,0,0,0,0,0,0,0,0,0,92.0083271,0,0,0,0,600,50,50,0,0,0,4,60,38.5034
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,7.9916729,0,0,0,0,0,0,0,0,0,0,0,0,92.0083271,0,0,0,0,650,50,50,0,0,0,4,60,58.2766
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,7.9916729,0,0,0,0,0,0,0,0,0,0,0,0,92.0083271,0,0,0,0,700,50,50,0,0,0,4,60,76.9615
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,7.9916729,0,0,0,0,0,0,0,0,0,0,0,0,92.0083271,0,0,0,0,750,50,50,0,0,0,4,60,89.8413
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,7.9916729,0,0,0,0,0,0,0,0,0,0,0,0,92.0083271,0,0,0,0,800,50,50,0,0,0,4,60,96.1905
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,10.8417666,0,0,0,0,0,0,0,0,0,0,0,0,89.1582334,0,0,0,0,600,50,50,0,0,0,4,60,45.034
2012,1,0,0,0,0,0,700,5,800,2,33.33333333,0,0,0,0,0,0,0,10.8417666,0,0,0,0,0,0,0,0,0,0,0,0,89.1582334,0,0,0,0,650,50,50,0,0,0,4,60,62.9932
