year,Preparation,"p(CH4), bar","p(O2), bar",p(CH4)/p(O2),"p total, bar","Contact time, s",O2 conversion,CH4 conversion,COx selectivity,C2H6 selectivity,C2H4 selectivity,C2 selectivity,C2 yield,Ag,Al,Au,B,Ba,Be,Bi,C,Ca,Cd,Ce,Co,Cr,Cs,Cu,Dy,Er,Eu,Fe,Ga,Gd,Ge,Ho,In,Ir,K,La,Li,Lu,Mg,Mn,Mo,Na,Nb,Nd,Ni,P,Pb,Pd,Pr,Pt,Rb,Re,Rh,Ru,Sb,Sc,Si,Sm,Sn,Sr,Ta,Tb,Te,Th,Ti,Tl,Tm,V,W,Y,Yb,Zn,Zr,Temperature_C
1987,n.a.,0.133000001,0.067000002,1.985074997,1.013000011,0.79,,56,40,36,24,60,33.6,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,5,0,0,749.85
1986,n.a.,0.495000005,0.104999997,4.714285851,1.013000011,7.2,,43,20,31,43,74,31.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.80000305,0,0,0,0,0,18.20000076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702.85
1990,n.a.,0.600000024,0.400000006,1.5,1.013000011,0.78,,62,,33,18,51,31.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.29999924,0,33.29999924,0,0,0,0,33.40000153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729.85
1986,n.a.,0.375,0.125,3,1.013000011,5.5,,59,48,36,17,53,31.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.20000076,0,82.80000305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,769.85
1986,n.a.,0.472000003,0.112000003,4.214285851,1.013000011,8,,34,4,52,34,86,29.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.5,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,703.85
1990,Precipitation,0.030999999,0.016000001,1.9375,1.013000011,1.229,90,46,,,,62.79999924,28.88799965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.400000006,0,99.59999847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,749.85
1986,n.a.,0.495000005,0.104999997,4.714285851,1.013000011,7.2,,41,26,28,41,69,28.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,88.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,700.85
2019,Impregnation,0.75,0.25,3,1,0.08424,99.1,49,43,41.15675676,15.24324324,56.4,27.636,0,0,0,0,0,0,0,0,0,0,1.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.081,0,0,0,1.39,0,0,0,0,800
2001,Therm.decomp.,0.333000004,0.166999996,1.994011998,1.013000011,0.4,,43.09999847,,,,62,26.72199905,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,949.85
1998,Impregnation,0.164000005,0.035999998,4.55555582,1.013000011,1.33,,33,,,,80,26.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.099999905,0,2.099999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.80000305,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,849.85
2019,Impregnation,0.66,0.33,2,1,0.08424,98.7,50.1,47,36.91764706,15.38235294,52.3,26.2023,0,0,0,0,0,0,0,0,0,0,1.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.081,0,0,0,1.39,0,0,0,0,800
2018,Impregnation,0.2,0.05,4,2,0.110070663,,35.34135787,,,,74.05205,26.171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.141601546,0,2.070410641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.75278249,0,0,0,0,0,0,0,0,0,0,0,1.035205321,0,0,0,0,849.85
1992,Therm.decomp.,0.027000001,0.027000001,1,1.013000011,4,,45,,,,58,26.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.099999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.90000153,0,0,0,0,0,0,0,0,799.85
2005,Impregnation,0.319999993,0.079999998,4,1.013000011,0.3,,32.5,,,,80.19999695,26.06499901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1.799999952,1.899999976,0,0,0,0,0,0,0,0,0,0,0,0,0,91.5,0,0,0,0,0,0,0,0,0,0,0,2.799999952,0,0,0,0,849.85
2019,Impregnation,0.66,0.33,2,1,0.08365,98.5,49.8,47.9,36.42352941,15.17647059,51.6,25.6968,0,0,0,0,0,0,0,0,0,0,2.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.853,0,0,0,1.402,0,0,0,0,800
2019,Impregnation,0.75,0.25,3,1,0.08365,98.9,48.2,46.1,38.42222222,14.77777778,53.2,25.6424,0,0,0,0,0,0,0,0,0,0,2.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.853,0,0,0,1.402,0,0,0,0,800
2007,Impregnation,0.666999996,0.333000004,2.003002882,1.013000011,0.22,100,45.79999924,,,,55.90000153,25.60220027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.100000024,0,0,0,2.200000048,0,2.099999905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.59999847,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,699.85
2011,Solid-phase technique,0.72972973,0.27027027,2.7,1,0.146866667,98,38,53,32,35,67,25.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.249316796,0,2.10216523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.59743536,0,0,0,0,0,0,0,0,0,0,0,1.051082615,0,0,0,0,908
2011,Solid-phase technique,0.705882353,0.294117647,2.4,1,0.146333333,88,41,34,40,22,62,25.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.10216523,0,0,0,0,2.249316796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.59743536,0,0,0,0,0,0,0,0,0,0,0,1.051082615,0,0,0,0,882
2008,Therm.decomp.,0.400000006,0.100000001,4,1.013000011,1.33,100,40,,48,,63,25.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,8.899999619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.09999847,0,0,0,0,0,0,0,0,0,0,0,4.5,0,0,0,0,699.85
2000,Impregnation,0.090000004,0.02,4.5,1.013000011,1.8,,32,,,59,78,24.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.200000048,0,0,0,0,0,98.19999695,0,0,0,0,0,0,0,0,0,0,0,0.600000024,0,0,0,0,849.85
1986,n.a.,0.108999997,0.057,1.912281036,1.013000011,2.4,90,40,,,,62.09999847,24.83999939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87.5,0,739.85
2011,Impregnation,0.18,0.06,3,0.3,0.2279924,99.9,37.2,33.6,,,66.4,24.7008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.624329,0,3.622933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.07,0,0,0,0,0,0,0,0,0,0,0,0.679744,0,0,0,0,735
2019,Impregnation,0.75,0.25,3,1,0.08276,99.3,48.7,49,36.21428571,14.48571429,50.7,24.6909,0,0,0,0,0,0,0,0,0,0,4.769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.968,0,0,0,1.421,0,0,0,0,800
2018,Impregnation,0.2,0.05,4,2,0.110070663,,34.16149691,,,,71.82156,24.53532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.141601546,0,2.070410641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93.75278249,0,0,0,0,0,0,0,0,0,0,0,1.035205321,0,0,0,0,849.85
2019,Impregnation,0.8,0.2,4,1,0.08424,99.5,44.5,44.6,39.79444444,15.30555556,55.1,24.5195,0,0,0,0,0,0,0,0,0,0,1.749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.081,0,0,0,1.39,0,0,0,0,800
