,Li,Be,B,C,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Mo,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Te,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ta,W,Re,Ir,Pt,Au,Tl,Pb,Bi,Th
Li,0.0,3.12471,4.06813,3.36612,0.34541,2.91801,2.66566,3.45491,2.96809,0.79824,2.94222,2.96526,3.0639,3.20391,3.31447,3.51527,3.43529,3.56145,3.66928,4.09929,3.8102,3.27913,3.95815,0.97483,2.94255,2.94466,3.14122,3.33113,3.57256,4.20616,4.56573,4.38728,4.11644,3.7842,3.25366,3.37294,3.95572,4.03098,1.39496,2.93063,2.89703,2.91514,2.88492,2.89852,3.20248,2.88992,2.95337,2.92213,2.92871,2.9367,2.94485,2.94317,2.91165,2.96507,3.44541,3.87752,3.99514,4.43297,4.3849,4.13766,3.23721,3.37276,3.40128,2.27678
Be,3.12471,0.0,3.76804,2.91615,3.15294,0.81471,2.51157,3.28787,3.10106,3.42666,1.33586,3.05162,3.02737,3.07115,3.12637,3.60409,3.23128,3.32815,3.47238,3.79431,3.74662,3.35933,3.91226,3.53931,1.56465,3.10582,3.06521,3.15858,3.22581,3.92183,4.19533,4.20484,3.85302,3.78632,3.31051,3.43115,3.9721,4.04255,3.77709,1.82622,3.20488,3.26082,3.17428,3.20034,3.56959,3.22208,3.19049,3.14402,3.1233,3.12819,3.11954,3.09475,3.15636,3.10545,3.17729,3.37579,3.54665,4.05671,4.15743,3.79173,3.30475,3.41634,3.49496,2.54496
B,4.06813,3.76804,0.0,2.97835,4.0911,3.89261,2.98878,1.62977,2.91001,4.20412,3.89076,3.72414,3.61311,3.50942,3.59046,3.36329,3.59646,3.68243,3.66006,4.26066,4.17266,3.51692,2.58166,4.23579,3.70548,3.76655,3.51556,3.51907,3.51699,4.1462,4.11744,4.30158,4.3515,4.20035,3.5136,3.4525,2.87453,2.86708,4.38999,4.01068,3.90443,3.82304,3.87949,3.89263,3.65955,3.86203,3.85103,3.81549,3.79213,3.78516,3.7715,3.7565,3.70608,3.75538,3.45766,3.49847,3.49143,4.02371,4.168,4.0274,3.63924,3.50228,3.56558,3.13815
C,3.36612,2.91615,2.97835,0.0,3.43477,3.06406,1.87925,2.46604,2.22281,3.69549,3.20988,2.91994,2.85116,2.82399,2.85109,3.22479,2.90859,2.98376,3.06743,3.50479,3.40403,2.9589,3.31257,3.79309,3.31562,2.97945,2.92215,2.80632,2.8316,3.55116,3.95553,3.82916,3.55874,3.43012,2.90081,2.87222,3.36756,3.42707,4.02095,3.44712,3.21099,3.2462,3.17156,3.18017,3.42098,3.19664,3.1073,3.06141,3.02751,2.9963,2.98201,2.96065,3.12387,2.95926,2.74625,2.89563,3.14603,3.68402,3.75856,3.47443,2.85009,2.8047,2.85884,2.29207
Na,0.34541,3.15294,4.0911,3.43477,0.0,2.92222,2.62422,3.45275,2.97159,0.71777,2.89346,3.03933,3.14361,3.2818,3.37047,3.50951,3.48955,3.61185,3.70746,4.03791,3.83154,3.30395,3.97237,0.94147,2.95348,3.01144,3.21944,3.40383,3.62093,4.2535,4.59147,4.42283,4.03782,3.80642,3.25933,3.36922,3.98691,4.06695,1.3746,2.96,2.9534,2.9487,2.94273,2.95653,3.18244,2.93018,3.00891,2.98703,2.9956,3.00398,3.01274,3.01181,2.93026,3.03567,3.52251,3.92619,4.07919,4.4628,4.42505,4.09953,3.27206,3.39595,3.43306,2.32362
Mg,2.91801,0.81471,3.89261,3.06406,2.92222,0.0,2.43936,3.26812,2.88532,3.14312,0.84666,2.97046,3.01615,3.11287,3.1853,3.47116,3.29147,3.39919,3.51434,3.84599,3.68135,3.22577,3.84957,3.23804,1.13423,2.9886,3.09241,3.22781,3.38279,4.03974,4.37055,4.25022,3.86908,3.68362,3.18312,3.2825,3.87396,3.94467,3.45972,1.33045,3.02017,3.04366,2.99044,3.00993,3.31328,3.00496,3.00309,2.99219,2.9908,2.98043,2.98131,2.97651,2.97179,3.00147,3.30673,3.63109,3.80038,4.22384,4.22908,3.87743,3.17364,3.29069,3.34212,2.34902
Al,2.66566,2.51157,2.98878,1.87925,2.62422,2.43936,0.0,2.13301,1.53821,2.90126,2.53342,2.62206,2.59228,2.61925,2.61017,2.86853,2.62585,2.69484,2.77086,2.97873,2.92745,2.24844,2.99085,3.02603,2.71957,2.65138,2.6659,2.74011,2.78613,3.48397,3.75763,3.65554,2.99567,2.94626,2.14947,2.21999,3.02954,3.07916,3.28186,2.87274,2.70622,2.70727,2.67036,2.69849,2.94298,2.67355,2.68902,2.67042,2.66067,2.65515,2.65328,2.6395,2.58205,2.65964,2.82146,3.04,3.25072,3.60779,3.62686,3.02795,2.20539,2.2643,2.3146,1.86111
Si,3.45491,3.28787,1.62977,2.46604,3.45275,3.26812,2.13301,0.0,2.34786,3.64306,3.32386,3.27697,3.23577,3.2282,3.2546,3.30975,3.26033,3.32973,3.36132,3.71156,3.59118,3.0019,2.06273,3.71999,3.36581,3.30507,3.27052,3.29556,3.34389,3.95169,4.17298,4.09211,3.74445,3.60061,2.9557,2.94053,2.17008,2.21735,3.91926,3.5312,3.39405,3.3666,3.36449,3.38237,3.44716,3.35336,3.35258,3.3351,3.32173,3.30977,3.30462,3.29425,3.2607,3.3082,3.32473,3.50398,3.64498,4.01787,4.03979,3.66628,3.00319,2.96464,3.00269,2.66892
P,2.96809,3.10106,2.91001,2.22281,2.97159,2.88532,1.53821,2.34786,0.0,3.12964,2.93388,2.85973,2.88085,2.94471,3.03858,2.65995,2.97166,3.07919,3.06017,3.65096,3.15046,2.21844,2.95752,3.16352,2.82288,2.87318,2.9968,3.11609,3.3002,3.8643,4.14478,3.82114,3.65776,3.09542,2.25126,2.10844,2.93917,2.93932,3.36761,2.99199,2.89284,2.78402,2.86177,2.90485,2.79048,2.77819,2.88546,2.88486,2.87507,2.87776,2.87881,2.87063,2.67052,2.90878,3.22833,3.62011,3.68111,3.98494,3.81666,3.5509,2.29877,2.12846,2.12853,2.16296
K,0.79824,3.42666,4.20412,3.69549,0.71777,3.14312,2.90126,3.64306,3.12964,0.0,2.97162,3.16343,3.29697,3.4464,3.55431,3.57724,3.68543,3.81731,3.89359,4.2732,4.03358,3.46034,4.11316,0.26107,2.95318,3.09349,3.34341,3.54534,3.79924,4.42418,4.74889,4.584,4.2681,3.98976,3.41593,3.52473,4.13139,4.21191,0.66533,2.88247,2.96827,2.94506,2.98046,2.97286,3.11331,2.9529,3.07913,3.04614,3.06322,3.08043,3.09553,3.10249,2.99504,3.12405,3.67796,4.11275,4.24441,4.63048,4.58077,4.31888,3.45407,3.55644,3.58288,2.32377
